Date,BVCSEB01,BVCSEB02,BVCSEB03,BVCSEB04,BVCSEB07,BVCSEB08,BVCSEB10,BVCSEB15,BVCSBC01,BVCSBC02,BVCSBC03,BVCSBC04,BVCSBC07,BVCSBC08,BVCSBC10,BVCSBC15
735130,0.048,0.188,0.366,0.571,1.244,1.456,1.8,2.328,1.544,1.788,2.126,2.451,3.016,3.135,3.457,4.146
735131,0.037,0.176,0.354,0.559,1.234,1.447,1.794,2.33,1.531,1.781,2.115,2.432,3.003,3.125,3.445,4.131
735132,0.031,0.17,0.346,0.55,1.223,1.436,1.785,2.319,1.524,1.772,2.102,2.415,2.982,3.104,3.425,4.108
735133,0.028,0.164,0.34,0.544,1.222,1.437,1.788,2.328,1.503,1.756,2.093,2.413,3.006,3.133,3.454,4.134
735136,0.035,0.167,0.338,0.538,1.207,1.42,1.768,2.308,1.516,1.767,2.099,2.414,2.995,3.119,3.439,4.116
735137,0.05,0.185,0.36,0.562,1.233,1.445,1.792,2.325,1.524,1.795,2.138,2.459,3.038,3.161,3.477,4.145
735138,0.034,0.154,0.313,0.501,1.14,1.345,1.684,2.211,1.512,1.77,2.103,2.412,2.946,3.062,3.377,4.041
735139,0.034,0.154,0.315,0.505,1.146,1.351,1.687,2.209,1.512,1.762,2.091,2.398,2.939,3.048,3.358,4.038
735140,0.028,0.145,0.302,0.487,1.121,1.325,1.662,2.187,1.521,1.769,2.085,2.383,2.918,3.027,3.337,4.019
735143,0.04,0.162,0.322,0.511,1.15,1.354,1.692,2.217,1.519,1.769,2.093,2.402,2.959,3.067,3.369,4.048
735144,0.037,0.158,0.318,0.506,1.148,1.353,1.692,2.223,1.494,1.769,2.097,2.398,2.947,3.067,3.379,4.028
735145,0.03,0.149,0.307,0.494,1.132,1.336,1.675,2.205,1.475,1.773,2.107,2.407,2.931,3.05,3.357,3.983
735146,0.037,0.156,0.314,0.501,1.138,1.343,1.68,2.21,1.468,1.763,2.096,2.395,2.913,3.031,3.338,3.968
735147,0.042,0.167,0.33,0.523,1.179,1.39,1.737,2.253,1.441,1.743,2.087,2.397,2.943,3.067,3.374,4.006
735150,0.033,0.154,0.314,0.504,1.154,1.364,1.708,2.22,1.455,1.736,2.079,2.392,2.937,3.057,3.355,3.975
735151,0.032,0.149,0.307,0.494,1.14,1.349,1.693,2.206,1.461,1.741,2.084,2.398,2.951,3.07,3.363,3.972
735152,0.031,0.147,0.303,0.489,1.132,1.341,1.684,2.198,1.467,1.757,2.11,2.429,2.979,3.096,3.385,3.99
735153,0.037,0.154,0.311,0.496,1.136,1.344,1.685,2.2,1.486,1.765,2.109,2.429,2.995,3.112,3.398,4.006
735154,0.033,0.146,0.297,0.478,1.107,1.313,1.651,2.161,1.474,1.75,2.083,2.393,2.965,3.099,3.409,3.977
735157,0.036,0.148,0.297,0.477,1.102,1.306,1.643,2.155,1.444,1.724,2.064,2.381,2.959,3.091,3.4,3.975
735158,0.046,0.168,0.329,0.517,1.16,1.368,1.708,2.223,1.442,1.74,2.092,2.414,3,3.137,3.45,4.032
735159,0.055,0.19,0.361,0.557,1.217,1.429,1.774,2.294,1.443,1.75,2.084,2.389,3.034,3.192,3.534,4.118
735160,0.058,0.198,0.371,0.568,1.221,1.43,1.771,2.288,1.416,1.712,2.049,2.362,3.017,3.175,3.517,4.103
735161,0.059,0.197,0.368,0.562,1.207,1.413,1.749,2.26,1.413,1.711,2.044,2.351,2.997,3.154,3.497,4.084
735164,0.065,0.208,0.382,0.579,1.227,1.433,1.77,2.281,1.403,1.701,2.044,2.362,3.014,3.173,3.515,4.098
735165,0.059,0.197,0.367,0.56,1.204,1.41,1.747,2.261,1.403,1.698,2.041,2.356,2.996,3.144,3.443,3.989
735166,0.049,0.185,0.354,0.548,1.198,1.407,1.749,2.268,1.399,1.699,2.043,2.36,2.993,3.135,3.431,4.002
735167,0.051,0.185,0.354,0.55,1.208,1.419,1.764,2.286,1.408,1.714,2.056,2.368,2.997,3.139,3.438,4.014
735168,0.039,0.166,0.33,0.521,1.174,1.384,1.729,2.249,1.413,1.719,2.05,2.353,2.979,3.118,3.407,3.973
735171,0.036,0.158,0.318,0.506,1.151,1.36,1.703,2.22,1.412,1.709,2.034,2.334,2.949,3.085,3.374,3.936
735172,0.041,0.162,0.322,0.51,1.155,1.364,1.705,2.221,1.4,1.693,2.014,2.31,2.917,3.054,3.349,3.929
735173,0.04,0.16,0.32,0.508,1.152,1.361,1.703,2.213,1.393,1.677,1.99,2.279,2.884,3.024,3.32,3.893
735174,0.033,0.151,0.309,0.496,1.137,1.344,1.682,2.188,1.382,1.66,1.97,2.258,2.863,3.003,3.301,3.873
735175,0.027,0.141,0.297,0.483,1.127,1.336,1.677,2.183,1.352,1.616,1.917,2.2,2.811,2.956,3.261,3.847
735178,0.02,0.133,0.287,0.472,1.111,1.319,1.659,2.164,1.34,1.613,1.91,2.187,2.786,2.926,3.227,3.821
735179,0.025,0.133,0.284,0.466,1.106,1.315,1.656,2.164,1.35,1.609,1.901,2.176,2.78,2.923,3.23,3.828
735180,0.011,0.11,0.254,0.431,1.065,1.273,1.615,2.123,1.327,1.587,1.865,2.125,2.71,2.854,3.164,3.767
735181,0.014,0.108,0.247,0.42,1.046,1.253,1.595,2.109,1.326,1.593,1.868,2.125,2.706,2.848,3.156,3.757
735182,0.013,0.106,0.243,0.414,1.035,1.241,1.581,2.096,1.331,1.593,1.873,2.133,2.704,2.846,3.162,3.763
735185,0.015,0.107,0.243,0.413,1.03,1.234,1.572,2.087,1.325,1.593,1.875,2.138,2.723,2.864,3.172,3.77
735186,0.013,0.104,0.239,0.408,1.021,1.223,1.559,2.076,1.327,1.599,1.882,2.148,2.743,2.88,3.179,3.776
735187,0.012,0.106,0.241,0.41,1.024,1.227,1.566,2.087,1.315,1.59,1.87,2.134,2.727,2.864,3.162,3.773
735188,0.014,0.106,0.241,0.41,1.025,1.229,1.571,2.106,1.31,1.575,1.858,2.129,2.735,2.873,3.174,3.791
735189,0.014,0.101,0.232,0.398,1.009,1.213,1.557,2.099,1.312,1.578,1.861,2.132,2.739,2.878,3.181,3.798
735192,0.017,0.11,0.244,0.413,1.027,1.232,1.574,2.113,1.328,1.594,1.878,2.152,2.769,2.91,3.215,3.827
735193,0.029,0.13,0.275,0.451,1.082,1.291,1.635,2.169,1.33,1.612,1.904,2.183,2.812,2.957,3.267,3.876
735194,0.028,0.137,0.287,0.469,1.107,1.316,1.661,2.197,1.325,1.63,1.925,2.199,2.819,2.965,3.277,3.882
735195,0.027,0.135,0.284,0.466,1.106,1.316,1.663,2.204,1.318,1.637,1.934,2.199,2.801,2.948,3.264,3.881
735196,0.025,0.131,0.279,0.46,1.099,1.309,1.659,2.209,1.319,1.643,1.943,2.204,2.796,2.943,3.258,3.87
735199,0.024,0.125,0.269,0.446,1.077,1.285,1.633,2.182,1.313,1.636,1.931,2.188,2.774,2.919,3.236,3.849
735200,0.027,0.132,0.277,0.454,1.082,1.288,1.631,2.172,1.313,1.648,1.947,2.204,2.793,2.936,3.246,3.853
735201,0.017,0.11,0.246,0.414,1.024,1.227,1.566,2.107,1.316,1.636,1.919,2.165,2.739,2.882,3.193,3.799
735202,0.022,0.117,0.253,0.421,1.028,1.229,1.566,2.105,1.311,1.635,1.917,2.162,2.735,2.879,3.194,3.801
735203,0.022,0.116,0.25,0.416,1.022,1.224,1.562,2.1,1.299,1.625,1.91,2.156,2.732,2.878,3.195,3.8
735206,0.026,0.128,0.269,0.441,1.054,1.257,1.594,2.133,1.31,1.65,1.937,2.182,2.751,2.888,3.174,3.776
735207,0.022,0.122,0.26,0.43,1.035,1.236,1.572,2.11,1.28,1.617,1.902,2.145,2.715,2.859,3.185,3.814
735208,0.016,0.107,0.237,0.399,0.994,1.194,1.529,2.067,1.257,1.587,1.859,2.091,2.659,2.812,3.144,3.748
735209,-0.001,0.083,0.21,0.37,0.966,1.167,1.504,2.044,1.239,1.558,1.822,2.05,2.606,2.752,3.08,3.711
735210,-0.017,0.056,0.177,0.335,0.937,1.141,1.486,2.042,1.228,1.54,1.803,2.033,2.595,2.742,3.074,3.713
735213,-0.011,0.06,0.179,0.337,0.937,1.141,1.484,2.037,1.251,1.572,1.848,2.087,2.649,2.786,3.082,3.704
735214,-0.007,0.066,0.186,0.344,0.948,1.153,1.498,2.051,1.254,1.573,1.848,2.088,2.654,2.794,3.092,3.704
735215,0.004,0.073,0.19,0.347,0.95,1.155,1.499,2.044,1.255,1.57,1.845,2.086,2.658,2.801,3.1,3.7
735216,0.004,0.073,0.191,0.348,0.957,1.164,1.51,2.054,1.247,1.566,1.837,2.077,2.659,2.811,3.153,3.787
735217,0.007,0.079,0.197,0.355,0.961,1.168,1.511,2.047,1.252,1.568,1.841,2.082,2.661,2.812,3.152,3.784
735220,0.017,0.094,0.216,0.377,0.985,1.191,1.533,2.064,1.248,1.578,1.854,2.094,2.668,2.818,3.156,3.778
735221,0.023,0.107,0.235,0.399,1.014,1.221,1.562,2.089,1.25,1.576,1.85,2.089,2.674,2.829,3.173,3.798
735222,0.023,0.108,0.238,0.403,1.019,1.226,1.568,2.101,1.255,1.564,1.832,2.071,2.673,2.84,3.19,3.8
735223,0.021,0.103,0.23,0.392,1.004,1.21,1.55,2.073,1.223,1.55,1.821,2.058,2.658,2.825,3.176,3.781
735224,0.018,0.097,0.22,0.379,0.985,1.191,1.53,2.055,1.215,1.536,1.802,2.034,2.626,2.792,3.141,3.75
735227,0.024,0.099,0.218,0.373,0.973,1.178,1.518,2.044,1.222,1.54,1.803,2.033,2.621,2.786,3.136,3.745
735228,0.024,0.099,0.218,0.374,0.974,1.178,1.518,2.044,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
735229,0.024,0.1,0.218,0.374,0.974,1.179,1.518,2.044,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
735230,0.021,0.096,0.213,0.367,0.959,1.161,1.495,2.008,1.225,1.543,1.799,2.021,2.588,2.75,3.098,3.697
735231,0.015,0.088,0.204,0.359,0.956,1.159,1.495,2.007,1.227,1.534,1.784,2.003,2.57,2.733,3.083,3.683
735234,0.019,0.089,0.202,0.355,0.948,1.15,1.486,1.999,1.242,1.538,1.785,2.001,2.566,2.728,3.077,3.674
735235,0.019,0.089,0.203,0.355,0.948,1.151,1.486,1.999,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
735236,0.029,0.12,0.253,0.422,1.048,1.258,1.6,2.12,1.225,1.536,1.797,2.028,2.627,2.797,3.153,3.76
735237,0.039,0.142,0.285,0.461,1.095,1.304,1.647,2.172,1.208,1.52,1.788,2.026,2.637,2.808,3.161,3.776
735238,0.054,0.172,0.326,0.51,1.15,1.359,1.699,2.225,1.203,1.542,1.818,2.061,2.682,2.855,3.208,3.824
735241,0.051,0.169,0.322,0.504,1.137,1.343,1.679,2.198,1.184,1.525,1.804,2.047,2.661,2.83,3.18,3.797
735242,0.042,0.156,0.307,0.486,1.114,1.319,1.653,2.169,1.181,1.511,1.781,2.017,2.619,2.788,3.137,3.747
735243,0.038,0.148,0.296,0.473,1.102,1.309,1.647,2.169,1.153,1.496,1.772,2.008,2.602,2.77,3.119,3.734
735244,0.062,0.181,0.336,0.518,1.156,1.364,1.705,2.235,1.18,1.525,1.808,2.051,2.661,2.831,3.181,3.798
735245,0.076,0.202,0.361,0.546,1.186,1.393,1.732,2.257,1.194,1.551,1.842,2.089,2.691,2.86,3.209,3.825
735248,0.079,0.202,0.357,0.538,1.165,1.37,1.704,2.226,1.19,1.552,1.842,2.086,2.673,2.837,3.18,3.795
735249,0.077,0.2,0.353,0.531,1.146,1.347,1.678,2.194,1.207,1.565,1.855,2.098,2.674,2.839,3.206,3.821
735250,0.076,0.198,0.35,0.527,1.141,1.342,1.674,2.191,1.197,1.562,1.857,2.102,2.673,2.836,3.201,3.815
735251,0.111,0.25,0.413,0.595,1.207,1.405,1.731,2.237,1.218,1.606,1.91,2.161,2.745,2.909,3.265,3.92
735252,0.102,0.24,0.4,0.58,1.177,1.369,1.684,2.169,1.215,1.593,1.894,2.141,2.707,2.856,3.155,3.856
735255,0.105,0.249,0.415,0.599,1.203,1.396,1.712,2.195,1.21,1.605,1.918,2.174,2.746,2.893,3.191,3.89
735256,0.096,0.235,0.397,0.578,1.181,1.375,1.695,2.189,1.211,1.602,1.92,2.179,2.743,2.887,3.174,3.865
735257,0.092,0.221,0.375,0.55,1.146,1.34,1.664,2.171,1.211,1.593,1.9,2.151,2.712,2.857,3.146,3.856
735258,0.104,0.237,0.395,0.575,1.179,1.375,1.702,2.214,1.233,1.621,1.936,2.195,2.758,2.899,3.187,3.912
735259,0.15,0.308,0.481,0.669,1.267,1.457,1.769,2.26,1.266,1.694,2.028,2.29,2.837,2.971,3.25,3.968
735262,0.168,0.344,0.531,0.726,1.329,1.517,1.824,2.298,1.251,1.728,2.079,2.349,2.903,3.036,3.311,4.023
735263,0.155,0.325,0.508,0.703,1.312,1.502,1.813,2.289,1.24,1.712,2.066,2.34,2.907,3.044,3.323,4.029
735264,0.171,0.347,0.534,0.731,1.344,1.535,1.845,2.306,1.265,1.75,2.113,2.393,2.963,3.1,3.383,4.078
735265,0.165,0.329,0.508,0.7,1.311,1.504,1.816,2.279,1.276,1.762,2.123,2.4,2.967,3.104,3.379,4.05
735266,0.149,0.308,0.482,0.67,1.282,1.477,1.794,2.269,1.258,1.747,2.104,2.376,2.936,3.074,3.353,4.033
735269,0.135,0.288,0.458,0.646,1.26,1.457,1.777,2.256,1.228,1.72,2.075,2.349,2.915,3.052,3.326,4.003
735270,0.143,0.303,0.479,0.671,1.29,1.487,1.809,2.292,1.24,1.738,2.099,2.377,2.94,3.074,3.345,4.029
735271,0.137,0.293,0.466,0.655,1.273,1.471,1.796,2.288,1.229,1.721,2.074,2.347,2.903,3.036,3.307,4.005
735272,0.112,0.258,0.425,0.61,1.231,1.432,1.764,2.269,1.206,1.685,2.033,2.303,2.863,3.001,3.279,3.986
735273,0.113,0.26,0.427,0.613,1.232,1.432,1.764,2.271,1.218,1.7,2.046,2.314,2.874,3.013,3.292,4
735276,0.117,0.265,0.433,0.619,1.237,1.437,1.769,2.28,1.218,1.708,2.053,2.318,2.872,3.01,3.296,4.036
735277,0.122,0.275,0.447,0.637,1.261,1.462,1.792,2.297,1.222,1.719,2.076,2.347,2.89,3.021,3.306,3.98
